x1,x1_t,x2,x2_t
0,0,0,0
0.079955141,1,0,1
0.159398324,2,0,2
0.237820867,3,0,3
0.314720626,4,0,4
0.389605205,5,0.127313042,5
0.461995112,6,-0.295716655,6
0.531426831,7,0.521439221,7
0.597455784,8,0.253364194,8
0.659659183,9,-0.028136886,9
0.717638736,10,0.367837558,10
0.771023194,11,0.742654359,11
0.819470733,12,0.546471514,12
0.86267114,13,0.778837979,13
0.9003478,14,0.870787075,14
0.932259465,15,0.653579507,15
0.958201804,16,0.362408229,16
0.978008705,17,0.650661798,17
0.991553344,18,0.656997364,18
0.998748993,19,1.261419868,19
0.999549577,20,0.828212469,20
0.993949972,21,1.061860399,21
0.98198603,22,1.06569089,22
0.963734359,23,0.726947254,23
0.939311825,24,1.03918963,24
0.908874808,25,0.68572711,25
0.872618197,26,1.34204053,26
0.830774147,27,0.919147736,27
0.783610589,28,0.628853738,28
0.731429513,29,1.395187028,29
0.67456504,30,0.850842773,30
0.613381277,31,1.311251049,31
0.548269987,32,0.994769899,32
0.479648085,33,1.135498068,33
0.407954959,34,0.808238743,34
0.333649668,35,1.112001798,35
0.257207993,36,0.617811423,36
0.179119396,37,0.936737964,37
0.099883885,38,0.688305443,38
0.020008809,39,0.297794993,39
-0.059994385,40,0.223062108,40
-0.13961343,41,0.47981083,41
-0.218338519,42,0.097029827,42
-0.295665571,43,0.27813335,43
-0.371099455,44,-0.531814375,44
-0.444157161,45,-0.468615316,45
-0.514370895,46,-0.26318646,46
-0.581291075,47,-0.084765717,47
-0.644489204,48,-0.430472748,48
-0.703560621,49,-0.297229027,49
-0.758127087,50,-0.648497499,50
-0.807839209,51,-0.593930886,51
-0.852378676,52,-1.149161066,52
-0.891460299,53,-0.321093866,53
-0.924833835,54,-0.830293313,54
-0.952285592,55,-1.271813399,55
-0.973639793,56,-1.271758702,56
-0.988759706,57,-1.404554646,57
-0.997548516,58,-0.765631755,58
-0.99994995,59,-1.417497682,59
-0.995948629,60,-0.79111056,60
-0.985570175,61,-1.22778022,61
-0.968881042,62,-0.848969355,62
-0.945988092,63,-1.399128798,63
-0.917037909,64,-0.813767701,64
-0.882215864,65,-0.52430179,65
-0.841744926,66,-0.845086623,66
-0.795884232,67,-0.715151625,67
-0.744927432,68,-0.69093452,68
-0.689200806,69,-0.819484367,69
-0.629061176,70,-0.831636695,70
-0.564893621,71,-1.01097094,71
-0.497109009,72,-1.175864348,72
-0.426141372,73,-0.294432259,73
-0.35244512,74,-0.582570201,74
-0.276492135,75,-0.458675261,75
-0.198768751,76,-0.126022339,76
-0.119772635,77,-0.461668493,77
-0.040009607,78,-0.808743931,78
0.040009607,79,-0.717455788,79
0.119772635,80,0.095708658,80
0.198768751,81,-0.510527345,81
0.276492135,82,0.190222479,82
0.35244512,83,0.576575874,83
0.426141372,84,0.489207164,84
0.497109009,85,0.20005986,85
0.564893621,86,0.146273587,86
