,x1,x2
0,0.0,1.0
1,0.0799551413,0.9967984628
2,0.1593983239,0.9872143508
3,0.2378208671,0.9713090318
4,0.3147206256,0.9491843487
5,0.3896052045,0.9209819676
6,0.4619951123,0.8868824704
7,0.5314268309,0.8471041986
8,0.597455784,0.8019018557
9,0.6596591833,0.7515648754
10,0.7176387356,0.6964155693
11,0.7710231937,0.6368070624
12,0.8194707329,0.5731210325
13,0.86267114,0.5057652659
14,0.9003477995,0.4351710467
15,0.932259465,0.3617903949
16,0.9582018038,0.2860931722
17,0.9780087051,0.2085640737
18,0.9915533438,0.1296995238
19,0.9987489926,0.0500044983
20,0.9995495772,-0.0300107098
21,0.9939499715,-0.1098337571
22,0.9819860301,-0.1889535306
23,0.963734359,-0.2668634206
24,0.9393118251,-0.3430645643
25,0.9088748076,-0.41706904
26,0.872618197,-0.4884029916
27,0.8307741472,-0.5566096625
28,0.7836105886,-0.6212523202
29,0.7314295131,-0.6819170531
30,0.67456504,-0.7382154203
31,0.6133812767,-0.7897869393
32,0.5482699874,-0.8363013936
33,0.4796480845,-0.8774609479
34,0.4079549592,-0.9130020543
35,0.333649668,-0.9426971407
36,0.2572079931,-0.966356067
37,0.1791193962,-0.9838273435
38,0.0998838846,-0.9949991003
39,0.020008809,-0.9997998037
40,-0.0599943846,-0.9981987146
41,-0.1396134296,-0.9902060848
42,-0.2183385194,-0.9758730916
43,-0.2956655714,-0.9552915104
44,-0.3710994548,-0.9285931266
45,-0.4441571607,-0.8959488918
46,-0.5143708952,-0.8575678295
47,-0.5812910746,-0.8136956966
48,-0.644489204,-0.7646134095
49,-0.703560621,-0.7106352458
50,-0.7581270869,-0.6521068318
51,-0.8078392087,-0.5894029291
52,-0.8523786759,-0.5229250356
53,-0.8914602989,-0.4530988142
54,-0.9248338353,-0.3803713673
55,-0.9522855918,-0.3052083743
56,-0.9736397927,-0.2280911093
57,-0.9887597055,-0.1495133599
58,-0.9975485163,-0.0699782654
59,-0.9999499497,0.0100049052
60,-0.9959486291,0.0899240137
61,-0.9855701752,0.1692673319
62,-0.9688810422,0.2475268189
63,-0.9459880917,0.3242013732
64,-0.917037909,0.3988000419
65,-0.8822158643,0.4708451643
66,-0.8417449257,0.5398754301
67,-0.7958842317,0.6054488333
68,-0.7449274317,0.6671455025
69,-0.6892008059,0.7245703894
70,-0.629061176,0.7773557981
71,-0.5648936206,0.8251637398
72,-0.4971090092,0.8676880966
73,-0.4261413719,0.9046565819
74,-0.3524451196,0.9358324838
75,-0.2764921349,0.9610161806
76,-0.1987687506,0.9800464192
77,-0.1197726351,0.9928013476
78,-0.0400096065,0.9991992951
79,0.0400096065,0.9991992951
80,0.1197726351,0.9928013476
81,0.1987687506,0.9800464192
82,0.2764921349,0.9610161806
83,0.3524451196,0.9358324838
84,0.4261413719,0.9046565819
85,0.4971090092,0.8676880966
86,0.5648936206,0.8251637398
87,0.629061176,0.7773557981
88,0.6892008059,0.7245703894
89,0.7449274317,0.6671455025
90,0.7958842317,0.6054488333
91,0.8417449257,0.5398754301
92,0.8822158643,0.4708451643
93,0.917037909,0.3988000419
94,0.9459880917,0.3242013732
95,0.9688810422,0.2475268189
96,0.9855701752,0.1692673319
97,0.9959486291,0.0899240137
98,0.9999499497,0.0100049052
99,0.9975485163,-0.0699782654
100,0.9887597055,-0.1495133599
101,0.9736397927,-0.2280911093
102,0.9522855918,-0.3052083743
103,0.9248338353,-0.3803713673
104,0.8914602989,-0.4530988142
105,0.8523786759,-0.5229250356
106,0.8078392087,-0.5894029291
107,0.7581270869,-0.6521068318
108,0.703560621,-0.7106352458
