e1,e2,e3,e4,e5
-0.81780603,2.326820481,1.18939911,-2.68303555,-2.476874187
-1.15772859,1.978158961,0.813419608,-2.419079048,-2.183275091
-1.167458622,1.979240905,0.780247994,-2.507008769,-2.240324886
-0.849181945,1.657641235,1.087560243,-2.275149033,-1.976035625
-0.873579007,1.013362297,1.064439839,-1.724077097,-2.060970949
-0.567986632,0.714755178,1.383502308,-0.852253983,-2.493532805
-0.603249885,0.757869893,1.37395509,-0.326494648,-2.603946228
-0.306726133,0.470134674,1.708414727,-0.141455099,-3.06511249
0.321360881,0.522536472,2.38681921,-0.293859231,-3.207696745
0.612130678,0.913281883,3.411203298,-0.111767135,-3.034768094
0.569543808,0.971948832,4.115530484,0.403855745,-2.547275509
0.195451546,1.371719484,4.506618152,1.254163177,-2.413755129
0.160322296,1.442284837,4.58923057,1.771632183,-1.961289887
0.461814116,1.856784578,4.36603621,1.961708877,-1.188989619
0.42892881,1.945110236,4.505909946,1.827754993,-0.764200785
0.734335035,2.380337574,5.007568558,2.041340345,-0.68221637
1.377826207,2.492659181,5.203390935,2.601648937,-0.940409687
1.690585798,2.284936053,5.76467411,2.839674626,-0.867544108
2.347314463,1.757906384,6.024883827,2.759112332,-1.135950425
2.679469978,1.580359992,5.987925673,3.031376052,-1.074483632
2.691358562,1.07869359,5.655616479,2.986091897,-0.684869738
3.055116082,0.922232739,5.694273643,2.625071363,-0.637354247
3.100873867,1.107899265,5.435015457,1.948004743,-0.258797789
2.831053433,1.634724456,4.878101468,1.622454555,-0.219627214
2.245954029,1.833215089,4.021709298,1.64435641,0.153296326
2.013608283,1.706784446,3.529965133,2.011730194,0.189447543
1.460332331,1.256725139,3.397990724,2.054241718,-0.108822463
1.25489785,1.152645435,2.953609012,2.444596848,-0.070509557
1.393940758,0.721197327,2.865350588,2.512760855,0.302505877
1.205603094,0.632329308,3.130597356,2.931384217,1.010466297
1.361335462,0.883371364,3.079000186,3.030826008,1.384947533
1.859978759,0.80303612,2.712327457,2.81386633,1.430471384
2.031922368,1.063618936,2.699896086,2.281163654,1.14945563
2.550786012,0.993915468,2.369611829,2.101115599,1.212732744
2.747307203,0.595599272,2.391312194,2.270540576,1.618575007
2.624905731,0.538883142,2.092898028,2.118086912,1.696760716
2.854778095,0.150556046,1.474507428,2.31504246,2.120394448
2.766216369,0.101000482,1.204434918,2.190230144,2.219504762
2.360744536,-0.282993654,0.608400328,2.41509598,1.99686386
1.637766558,-0.330961432,-0.31534922,2.318666302,2.123322465
1.264715499,-0.716100191,-0.899903036,1.902420914,2.597533961
1.237224949,-0.767942768,-1.151060298,1.16571703,2.750002994
0.882417805,-0.488944001,-1.072551969,0.776169784,2.583858642
0.20011319,-0.550145004,-1.336618715,0.729284217,2.100109213
-0.141288253,-0.279055356,-1.272128709,0.351941505,1.967641963
-0.14603989,-0.346808458,-0.880786457,0.314557078,2.183553848
0.183705675,-0.751707835,-0.832761583,-0.055989242,2.076713041
0.177141383,-0.823411428,-1.125638867,-0.089167459,2.318756375
-0.163651653,-0.564501368,-1.759118422,0.212690757,2.909034984
-0.167939251,-0.646136002,-2.064374731,0.178597027,3.178846666
-0.508647869,-0.395961354,-2.045516365,0.481232717,3.132104266
-0.515027533,-0.485228431,-1.704540408,0.449606967,3.440204922
-0.189242064,-0.241613246,-1.71160784,0.756394199,4.102864752
-0.202079631,-0.336435428,-2.064648792,1.401395696,4.452483353
0.119276461,-0.097395683,-2.763702005,1.715806485,4.493544316
0.774745369,-0.195861784,-3.14061639,1.70378119,4.896890892
1.09557675,0.040446913,-3.200009367,1.367363211,4.994325675
1.756649736,0.610907594,-2.944393166,1.376909894,5.456593732
2.089305135,0.846233384,-3.043740615,1.059803314,5.61636509
2.097829424,0.750045271,-2.826773039,1.086659938,5.476841401
1.78439898,0.323848564,-2.963843837,0.784879502,5.039128728
1.819329955,0.237738635,-2.783818193,0.825274202,4.969513305
2.200721742,0.489055952,-2.957357078,0.535267518,4.597731595
2.258389029,0.406486542,-3.483386872,0.585816734,4.591183151
1.994831879,-0.008372894,-3.693169942,0.975116759,4.279449048
2.080608383,-0.756049114,-3.590231734,1.032741465,3.662474645
1.843811914,-1.168388168,-3.845165984,1.43185311,3.406751295
1.955274198,-1.250138595,-3.788092923,1.502149951,2.839506006
1.743177188,-1.674570819,-3.420732906,1.246210809,2.628426267
1.208246911,-1.771587466,-3.411790481,1.335004656,2.100333116
0.349090862,-1.543942811,-3.089709922,1.096362222,1.923786813
-0.167157061,-1.662678819,-2.454423996,0.530855696,2.095620072
-0.345821416,-2.126405655,-2.173424464,0.307578573,1.944415051
-0.86092875,-2.265386344,-2.242939355,0.423024058,2.141561631
-1.042833282,-2.75290497,-1.991050516,0.205025937,2.015804188
-0.894823083,-2.919611745,-2.088402483,-0.345682731,2.238676676
-0.418066141,-2.768732653,-1.863156291,-0.559711538,2.139111301
-0.282293906,-2.971154914,-1.315947468,-1.111304328,2.388763253
-0.484539223,-2.856095041,-1.115666898,-1.331053498,2.316784158
-0.353180411,-3.094644094,-1.258976433,-1.222495752,2.594928031
-0.560255071,-3.016289231,-1.744642157,-1.457622133,2.552606044
-1.104940619,-2.622618685,-2.573541855,-1.36515802,2.191654666
-1.317786283,-2.582815971,-3.078209805,-1.617155609,2.181804252
-1.8729209,-2.224566999,-3.264092763,-1.542483818,1.850670278
-2.10107291,-1.547601338,-3.804219427,-1.8132513,1.198182627
-2.00585367,-1.219745854,-4.030139886,-1.758497409,0.892542013
-1.588756642,-0.566400907,-3.945492925,-2.0503801,0.259153119
-1.519459784,-0.256043248,-3.551806584,-2.018144595,-0.033268664
-1.124944216,0.386112728,-3.517454788,-1.663699826,0.011330371
-1.075264728,0.691269252,-3.170842965,-1.657131959,-0.279670393
-1.367999059,0.663480254,-3.181063916,-1.325832459,-0.235209757
-1.332193606,0.30469119,-2.876477393,-1.340212889,0.142871469
-1.640299811,0.285450974,-2.926740328,-1.027671543,0.184082523
-1.621522447,0.603517916,-3.330049338,-0.388298495,-0.109193601
-1.948326188,1.258770674,-3.416915898,-0.090728524,-0.736696413
