s_t,s,s_d
0.0,8990.0,-2.69984999999906
1.0,8989.0,-2.6995499999993626
2.0,8988.0,-2.6992500000014843
3.0,8987.0,-2.698949999999968
4.0,8986.0,-2.6986500000002707
5.0,8985.0,-2.6983499999987544
6.0,8984.0,-2.698050000000876
7.0,8983.0,-2.6977499999975407
8.0,8982.0,-2.6974500000014814
9.0,8981.0,-2.697149999999965
10.0,8980.0,-2.6968500000002678
11.0,8979.0,-2.6965499999987514
12.0,8978.0,-2.696250000000873
13.0,8977.0,-2.695950000001176
14.0,8976.0,-2.6956499999978405
15.0,8975.0,-2.695349999999962
16.0,8974.0,-2.695050000002084
17.0,8973.0,-2.6947499999987485
18.0,8972.0,-2.694449999999051
19.0,8971.0,-2.694150000001173
20.0,8970.0,-2.6938499999996566
21.0,8969.0,-2.6935500000017782
22.0,8968.0,-2.693249999998443
23.0,8967.0,-2.6929499999987456
24.0,8966.0,-2.6926500000026863
25.0,8965.0,-2.692349999997532
26.0,8964.0,-2.6920500000014727
27.0,8963.0,-2.6917499999999563
28.0,8962.0,-2.69144999999844
29.0,8961.0,-2.6911500000023807
30.0,8960.0,-2.6908499999990454
31.0,8959.0,-2.690550000001167
32.0,8958.0,-2.6902499999978318
33.0,8957.0,-2.6899499999999534
34.0,8956.0,-2.689650000002075
35.0,8955.0,-2.68934999999874
36.0,8954.0,-2.6890499999990425
37.0,8953.0,-2.688750000001164
38.0,8952.0,-2.688449999999648
39.0,8951.0,-2.6881499999999505
40.0,8950.0,-2.687850000000253
41.0,8949.0,-2.687549999998737
42.0,8948.0,-2.6872500000026776
43.0,8947.0,-2.6869499999975233
44.0,8946.0,-2.686650000001464
45.0,8945.0,-2.6863499999999476
46.0,8944.0,-2.6860499999984313
47.0,8943.0,-2.685750000002372
48.0,8942.0,-2.6854499999990367
49.0,8941.0,-2.6851500000011583
50.0,8940.0,-2.684849999997823
51.0,8939.0,-2.6845499999999447
52.0,8938.0,-2.6842500000020664
53.0,8937.0,-2.683949999998731
