e_t,e,e_d,s_t,s,s_d
0,2990,-1,0,2990,-2.09965
1,2989,-1,1,2989,-2.09895
2,2988,-1,2,2988,-2.09825
3,2987,-1,3,2987,-2.09755
4,2986,-1,4,2986,-2.09685
5,2985,-1,5,2985,-2.09615
6,2984,-1,6,2984,-2.09545
7,2983,-1,7,2983,-2.09475
8,2982,-1,8,2982,-2.09405
9,2981,-1,9,2981,-2.09335
10,2980,-1,10,2980,-2.09265
11,2979,-1,11,2979,-2.09195
12,2978,-1,12,2978,-2.09125
13,2977,-1,13,2977,-2.09055
14,2976,-1,14,2976,-2.08985
15,2975,-1,15,2975,-2.08915
16,2974,-1,16,2974,-2.08845
17,2973,-1,17,2973,-2.08775
18,2972,-1,18,2972,-2.08705
19,2971,-1,19,2971,-2.08635
20,2970,-1,20,2970,-2.08565
21,2969,-1,21,2969,-2.08495
22,2968,-1,22,2968,-2.08425
23,2967,-1,23,2967,-2.08355
24,2966,-1,24,2966,-2.08285
25,2965,-1,25,2965,-2.08215
26,2964,-1,26,2964,-2.08145
27,2963,-1,27,2963,-2.08075
28,2962,-1,28,2962,-2.08005
29,2961,-1,29,2961,-2.07935
30,2960,-1,30,2960,-2.07865
31,2959,-1,31,2959,-2.07795
32,2958,-1,32,2958,-2.07725
33,2957,-1,33,2957,-2.07655
34,2956,-1,34,2956,-2.07585
35,2955,-1,35,2955,-2.07515
36,2954,-1,36,2954,-2.07445
37,2953,-1,37,2953,-2.07375
38,2952,-1,38,2952,-2.07305
39,2951,-1,39,2951,-2.07235
40,2950,-1,40,2950,-2.07165
41,2949,-1,41,2949,-2.07095
42,2948,-1,42,2948,-2.07025
43,2947,-1,43,2947,-2.06955
44,2946,-1,44,2946,-2.06885
45,2945,-1,45,2945,-2.06815
46,2944,-1,46,2944,-2.06745
47,2943,-1,47,2943,-2.06675
48,2942,-1,48,2942,-2.06605
49,2941,-1,49,2941,-2.06535
50,2940,-1,50,2940,-2.06465
51,2939,-1,51,2939,-2.06395
52,2938,-1,52,2938,-2.06325
53,2937,-1,53,2937,-2.06255
54,2936,-1,54,2936,-2.06185
55,2935,-1,55,2935,-2.06115
56,2934,-1,56,2934,-2.06045
57,2933,-1,57,2933,-2.05975
58,2932,-1,58,2932,-2.05905
59,2931,-1,59,2931,-2.05835
60,2930,-1,60,2930,-2.05765
61,2929,-1,61,2929,-2.05695
62,2928,-1,62,2928,-2.05625
63,2927,-1,63,2927,-2.05555
64,2926,-1,64,2926,-2.05485
65,2925,-1,65,2925,-2.05415
66,2924,-1,66,2924,-2.05345
67,2923,-1,67,2923,-2.05275
68,2922,-1,68,2922,-2.05205
69,2921,-1,69,2921,-2.05135
70,2920,-1,70,2920,-2.05065
71,2919,-1,71,2919,-2.04995
72,2918,-1,72,2918,-2.04925
73,2917,-1,73,2917,-2.04855
74,2916,-1,74,2916,-2.04785
75,2915,-1,75,2915,-2.04715
76,2914,-1,76,2914,-2.04645
77,2913,-1,77,2913,-2.04575
78,2912,-1,78,2912,-2.04505
79,2911,-1,79,2911,-2.04435
80,2910,-1,80,2910,-2.04365
81,2909,-1,81,2909,-2.04295
82,2908,-1,82,2908,-2.04225
83,2907,-1,83,2907,-2.04155
84,2906,-1,84,2906,-2.04085
85,2905,-1,85,2905,-2.04015
86,2904,-1,86,2904,-2.03945
87,2903,-1,87,2903,-2.03875
88,2902,-1,88,2902,-2.03805
89,2901,-1,89,2901,-2.03735
90,2900,-1,90,2900,-2.03665
91,2899,-1,91,2899,-2.03595
92,2898,-1,92,2898,-2.03525
93,2897,-1,93,2897,-2.03455
94,2896,-1,94,2896,-2.03385
95,2895,-1,95,2895,-2.03315
96,2894,-1,96,2894,-2.03245
97,2893,-1,97,2893,-2.03175
98,2892,-1,98,2892,-2.03105
99,2891,-1,99,2891,-2.03035
100,2890,-1,100,2890,-2.02965
101,2889,-1,101,2889,-2.02895
102,2888,-1,102,2888,-2.02825
103,2887,-1,103,2887,-2.02755
104,2886,-1,104,2886,-2.02685
105,2885,-1,105,2885,-2.02615
106,2884,-1,106,2884,-2.02545
107,2883,-1,107,2883,-2.02475
108,2882,-1,108,2882,-2.02405
109,2881,-1,109,2881,-2.02335
110,2880,-1,110,2880,-2.02265
111,2879,-1,111,2879,-2.02195
112,2878,-1,112,2878,-2.02125
113,2877,-1,113,2877,-2.02055
114,2876,-1,114,2876,-2.01985
115,2875,-1,115,2875,-2.01915
116,2874,-1,116,2874,-2.01845
117,2873,-1,117,2873,-2.01775
118,2872,-1,118,2872,-2.01705
119,2871,-1,119,2871,-2.01635
120,2870,-1,120,2870,-2.01565
121,2869,-1,121,2869,-2.01495
122,2868,-1,122,2868,-2.01425
123,2867,-1,123,2867,-2.01355
124,2866,-1,124,2866,-2.01285
125,2865,-1,125,2865,-2.01215
126,2864,-1,126,2864,-2.01145
127,2863,-1,127,2863,-2.01075
128,2862,-1,128,2862,-2.01005
129,2861,-1,129,2861,-2.00935
130,2860,-1,130,2860,-2.00865
131,2859,-1,131,2859,-2.00795
132,2858,-1,132,2858,-2.00725
133,2857,-1,133,2857,-2.00655
134,2856,-1,134,2856,-2.00585
135,2855,-1,135,2855,-2.00515
136,2854,-1,136,2854,-2.00445
137,2853,-1,137,2853,-2.00375
138,2852,-1,138,2852,-2.00305
139,2851,-1,139,2851,-2.00235
140,2850,-1,140,2850,-2.00165
141,2849,-1,141,2849,-2.00095
142,2848,-1,142,2848,-2.00025
143,2847,-1,143,2847,-1.99955
144,2846,-1,144,2846,-1.99885
145,2845,-1,145,2845,-1.99815
146,2844,-1,146,2844,-1.99745
147,2843,-1,147,2843,-1.99675
148,2842,-1,148,2842,-1.99605
149,2841,-1,149,2841,-1.99535
150,2840,-1,150,2840,-1.99465
151,2839,-1,151,2839,-1.99395
152,2838,-1,152,2838,-1.99325
153,2837,-1,153,2837,-1.99255
154,2836,-1,154,2836,-1.99185
